!!!!------ Server Start ------!!!,	OnLoad,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (57),	2018-06-21 오전 2:14:10
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:45:18
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:45:25
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:45:25
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-21 오전 2:45:42
[connect cnt: 1] any client Connected!!,	WriteLog,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (116),	2018-06-21 오전 2:46:01
[table Num : -1] protocol id LOGIN_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:46:03
[table Num : 1] protocol id LOGIN_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:46:03
[table Num : 1] protocol id ENTER_CUSTOMER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:46:10
[table Num : 1] protocol id ENTER_CUSTOMER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:46:10
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:46:20
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:46:20
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:46:25
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:46:26
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:46:36
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:46:36
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:46:42
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:46:42
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:46:48
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:46:48
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:46:57
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:46:57
[table Num : 1] protocol id ORDER_REQ,	FreeNet.IPeer.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\User.cs (57),	2018-06-21 오전 2:47:08
[table Num : 1] protocol id ORDER_ACK,	SP_Server.UserState.IUserState.on_message,	C:\SP\Tokyolong\SP_Server\SP_Server\UserState\UserLobbyState.cs (77),	2018-06-21 오전 2:47:08
[table Num : 1] client Disconnected!!,	on_message,	C:\Users\Cho\Desktop\SP_Server\SP_Server\FreeNet\CUserToken.cs (175),	2018-06-21 오전 2:47:10
!!!!------ Server Closing ------!!!,	frmClosing,	C:\SP\Tokyolong\SP_Server\SP_Server\Frm.cs (199),	2018-06-21 오전 3:16:31
